id,full_name,food_1,food_2,food_3,food_4,date
548,Robin Trott,5,0,,,11/23/2019
549,Haily Darey,2,2,6,3,11/24/2019
550,Elvyn Karpov,4,,1,,11/23/2019
551,Innis Penhaligon,3,1,,1,11/19/2019
552,Wenona Cattrell,8,,,4,11/24/2019
553,Tabby Malpass,,7,2,1,11/22/2019
554,Beverly Sauter,8,3,9,3,11/19/2019
555,Cirstoforo Posselt,4,4,1,1,11/24/2019
556,Christian Dent,4,5,,,11/24/2019
557,Mary Doblin,5,3,5,3,11/20/2019
558,Orran Godbolt,6,5,3,,11/22/2019
559,Putnam Mongeot,3,1,1,,11/22/2019
560,Carlyn Swan,5,2,4,2,11/24/2019
561,Merlina Bagshawe,,4,5,,11/20/2019
562,Jordana Fritche,7,,,1,11/25/2019
563,Dew Onge,,2,2,1,11/22/2019
564,Ellen Sealove,5,,,1,11/23/2019
565,Gwenette Howgill,4,,2,2,11/24/2019
566,Seymour Brandreth,,,3,1,11/21/2019
567,Umeko Le Grand,5,,,2,11/21/2019
568,Nichole Mars,4,2,2,3,11/21/2019
569,Kalie Gimber,3,3,5,3,11/22/2019
570,Palm Theodore,1,2,5,4,11/19/2019
571,Elane Killingbeck,8,1,0,0,11/23/2019
572,Corie Yesinin,5,2,2,1,11/25/2019
573,Thomas Eglin,5,2,,1,11/23/2019
574,Jamill McConnachie,3,,3,2,11/25/2019
575,Malvina Houson,,3,3,1,11/23/2019
576,Luca Haughey,3,,3,2,11/23/2019
577,Guthrey Licence,3,,5,3,11/20/2019
578,Hubey Muir,3,2,6,2,11/21/2019
579,Ianthe Mugleston,3,,4,2,11/23/2019
580,Earlie Dennerly,3,0,,0,11/23/2019
581,Reinold Lomaz,2,3,7,2,11/20/2019
582,Simeon Langan,6,4,2,,11/20/2019
583,Didi Eiler,,4,6,4,11/23/2019
584,Findley Gounin,5,,7,1,11/23/2019
585,Alfie Gypson,2,3,5,,11/25/2019
586,Inger McBrady,3,2,5,0,11/25/2019
587,Maighdiln Pennyman,3,0,4,1,11/25/2019
588,Blisse Nieass,2,5,2,0,11/25/2019
589,Clim Cuxson,5,1,3,1,11/19/2019
590,Kristy Zieme,4,4,2,3,11/21/2019
591,Thomas Wettern,8,5,4,0,11/22/2019
592,Juli Moggie,4,2,6,0,11/21/2019
593,Faulkner Deeson,12,,2,1,11/25/2019
594,Christiane Woolfoot,2,2,1,,11/23/2019
595,Emlyn Legon,5,3,3,1,11/23/2019
596,Renelle Valentin,6,6,2,5,11/20/2019
597,Brant Benedito,9,1,1,5,11/25/2019
598,Hallie Shurey,,,3,,11/22/2019
599,Conant Ranvoise,3,1,,,11/19/2019
600,Sander Keling,3,3,1,1,11/20/2019
601,Elbert Topaz,9,5,,,11/22/2019
602,Brenden Wraggs,1,4,3,3,11/19/2019
603,Loren Finnimore,,,1,4,11/24/2019
604,Justen Brahmer,6,0,1,2,11/23/2019
605,Ruperta Hiddersley,4,2,0,2,11/25/2019
606,Jordan Bensley,6,3,1,,11/23/2019
607,Johannah Grantham,4,,7,2,11/20/2019
608,Lou Gemelli,4,,6,1,11/19/2019
609,Geordie Scarlet,5,4,4,2,11/21/2019
610,Chicky Sabberton,4,2,2,4,11/23/2019
611,Taite Felix,7,3,4,,11/21/2019
612,Tatum Dignan,7,,2,2,11/19/2019
613,Friedrick Shackleton,,,1,,11/21/2019
614,Caria Balchin,,4,4,0,11/24/2019
615,Tad Jarad,10,2,1,3,11/24/2019
616,Jareb Jerrome,5,4,3,3,11/24/2019
617,Isa Sweetenham,,5,,1,11/21/2019
618,Fletcher Hardstaff,6,2,5,5,11/21/2019
619,Jackie Cufflin,4,1,3,4,11/20/2019
620,Averil Terbeck,5,2,2,1,11/24/2019
621,Gerrie Jain,5,2,,4,11/24/2019
622,Halie Edgar,4,,5,,11/23/2019
623,Obidiah Ashelford,6,,2,2,11/19/2019
624,Ashien Melton,,5,4,2,11/24/2019
625,Dennis Tremathack,9,2,2,0,11/24/2019
626,Fan Stoggles,5,4,3,0,11/21/2019
627,Georgeanne Savery,,,,2,11/23/2019
628,Andee McGriele,2,,,1,11/24/2019
629,Rodrigo Edgar,,3,,2,11/22/2019
630,Schuyler Osborne,4,3,,1,11/19/2019
631,Paco Galfour,2,2,4,2,11/24/2019
632,Skippie Considine,,0,0,0,11/25/2019
633,Bethany Grindrod,5,1,2,2,11/25/2019
634,Hillary Clayill,,,3,0,11/22/2019
635,Briny Raspel,4,3,3,2,11/24/2019
636,Olivier Southcott,5,2,1,0,11/23/2019
637,Charley Slowcock,,3,5,2,11/24/2019
638,Gerry Raithmill,1,4,,5,11/23/2019
639,Padgett Oels,6,0,1,3,11/23/2019
640,Homer Darthe,9,4,,2,11/25/2019
641,Nathalia Farlane,8,2,5,,11/24/2019
642,Phyllys Martinovsky,5,1,4,2,11/20/2019
643,Clementine Lodevick,3,2,,1,11/19/2019
644,Amalle Duer,,,0,1,11/24/2019
645,Rose Lombard,7,2,1,,11/25/2019
646,Micheal Godfrey,3,5,,4,11/24/2019
647,Clyve Reece,15,1,,,11/24/2019
648,Gianni Liggett,5,0,3,2,11/21/2019
649,Nola Cabane,7,,,0,11/23/2019
650,Conni Colquhoun,4,5,1,2,11/25/2019
651,Beret O' Reagan,7,4,3,0,11/21/2019
652,Thea Bernhart,2,3,,,11/21/2019
653,Maye Forseith,4,5,5,1,11/25/2019
654,Parsifal Esome,,2,1,3,11/20/2019
655,Luise Marvelley,5,4,0,2,11/22/2019
656,Stesha Youll,6,1,0,3,11/20/2019
657,Fredericka Tummond,2,2,3,0,11/20/2019
658,Alla McAvinchey,2,3,,1,11/19/2019
659,Kellyann Calabry,3,5,2,1,11/20/2019
660,Sheilah Gunderson,5,2,3,2,11/23/2019
661,April Minero,7,4,1,,11/24/2019
662,Jean Mizzen,9,6,2,2,11/22/2019
663,Early Kupka,5,3,3,3,11/21/2019
664,Alister St. Paul,7,,2,4,11/21/2019
665,Jaclin Pendergrast,3,3,2,1,11/24/2019
666,Allie Lanaway,2,4,4,,11/19/2019
667,Matthieu Filchakov,6,5,,,11/23/2019
668,Russ Carrabott,3,2,2,1,11/22/2019
669,Judye Hackin,0,7,2,1,11/20/2019
670,Miran Heather,5,,3,1,11/23/2019
671,Brion Cordeiro,4,,2,4,11/22/2019
672,Hirsch Gordge,4,,4,,11/19/2019
673,Emalia Ackermann,5,5,,1,11/21/2019
674,Kalindi Strond,1,2,1,2,11/20/2019
675,Paco Danks,,,,1,11/23/2019
676,Salomone Licari,1,4,4,0,11/25/2019
677,Eugen Pairpoint,6,3,,,11/21/2019
678,Vincent Vautrey,,5,,0,11/23/2019
679,Gal Jursch,,5,,,11/22/2019
680,Anatol de Najera,,2,,1,11/25/2019
681,Jacquette Siggens,5,5,3,,11/20/2019
682,Christy Mabe,,1,4,0,11/25/2019
683,Dory Vallance,2,5,3,4,11/21/2019
684,Evie Bispham,5,0,2,3,11/19/2019
685,Agata Deighan,4,,3,2,11/24/2019
686,Kennie Schaben,7,2,,4,11/25/2019
687,Marthena Hollibone,,4,3,1,11/21/2019
688,Gregory Mariotte,8,,2,,11/20/2019
689,Rozanne Debenham,,3,3,1,11/21/2019
690,Angelina Innett,6,2,5,,11/20/2019
691,Jamill Runnacles,1,2,,1,11/25/2019
692,Salem Triggle,,2,,,11/20/2019
693,Horst Salzberger,3,,5,1,11/19/2019
694,Papageno Bondar,,4,1,,11/19/2019
695,Aurelea Manley,4,6,6,0,11/25/2019
696,Marion Buzin,,3,3,3,11/19/2019
697,Oneida D'Antonio,1,3,,2,11/25/2019
698,Hortense Boyland,11,,3,2,11/23/2019
699,Nichol Nipper,7,0,1,0,11/19/2019
700,Arda Killick,5,0,,2,11/20/2019
701,Zolly Couzens,8,2,4,,11/20/2019
702,Roseann Wooding,7,,6,,11/19/2019
703,Kizzie Tiner,,3,1,0,11/23/2019
704,Lilllie Stollenwerck,0,4,2,2,11/24/2019
705,Karoly Gallaher,4,1,5,3,11/25/2019
706,Denis Toseland,7,,3,1,11/21/2019
707,Dev Vitte,5,1,,3,11/23/2019
708,Romona Wadley,,2,,,11/23/2019
709,Brocky Akett,6,4,3,2,11/24/2019
710,Gene Sacker,2,,,,11/25/2019
711,Barron Zanussii,5,5,3,3,11/24/2019
712,Jerrylee Barrie,3,1,3,1,11/20/2019
713,Hedi Laphorn,,2,5,1,11/21/2019
714,Arel Quiney,4,4,,1,11/25/2019
715,Corena Statton,,1,,2,11/24/2019
716,Elvira Feaks,4,3,2,3,11/24/2019
717,Glenn Willson,1,,2,,11/21/2019
718,Osbourn Colleford,3,2,2,1,11/22/2019
719,Catina Luscombe,2,7,4,4,11/22/2019
720,Dawna Willmont,4,3,5,1,11/23/2019
721,Duffy Bengal,2,6,3,2,11/23/2019
722,Sigismondo Berndsen,6,4,5,5,11/21/2019
723,Alexandr Shaxby,2,3,4,0,11/21/2019
724,Oberon Sante,5,1,,2,11/21/2019
725,Lira Hulland,3,2,4,,11/24/2019
726,Orelee Craxford,3,3,,1,11/24/2019
727,Collette Amiss,5,3,4,,11/23/2019
728,Averyl Shortt,5,4,,2,11/20/2019
729,Emmalynn Penhale,4,2,,2,11/22/2019
730,Marilee Gaskal,3,2,4,0,11/23/2019
731,Dion Guidotti,5,,0,0,11/19/2019
732,Maurine Meuse,,3,2,2,11/25/2019
733,Megen Ellens,3,4,2,2,11/22/2019
734,Jillian Smallcomb,2,1,,1,11/20/2019
735,Baird Oldfield,1,4,,6,11/22/2019
736,Sarge Ewebank,,1,5,,11/19/2019
737,Nilson Drable,6,3,3,3,11/21/2019
738,Fairlie Kivelle,6,5,,2,11/20/2019
739,Rolando Iacovucci,5,3,,4,11/21/2019
740,Dawn Mc Cahey,6,4,3,3,11/19/2019
741,Arturo De la Zenne,,1,4,4,11/23/2019
742,Aurelie Buttrick,5,,,4,11/21/2019
743,Audie Dameisele,9,2,,2,11/22/2019
744,Lauren Barribal,3,4,4,1,11/24/2019
745,Chaddy Banthorpe,4,2,2,,11/25/2019
746,Virgina Francisco,2,4,1,1,11/23/2019
747,Germain Niezen,7,3,5,2,11/22/2019
748,Evangelin Bradforth,,1,5,1,11/23/2019
749,Myrtia Camerati,,4,3,3,11/23/2019
750,Alfy Cradduck,3,0,,0,11/21/2019
751,Lacy Ratie,4,1,,5,11/19/2019
752,Ludvig Ditzel,6,2,5,,11/23/2019
753,Brittney Goodlip,,6,3,1,11/24/2019
754,Cale Staff,5,3,3,,11/23/2019
755,Aloysius Tucsell,7,2,5,2,11/25/2019
756,Evvy Shillitoe,3,,8,4,11/25/2019
757,Laetitia Abbyss,3,3,8,5,11/24/2019
758,Leoline Degli Abbati,,0,1,,11/25/2019
759,Giuditta Rock,4,4,4,,11/19/2019
760,Dode Hall,3,3,5,2,11/24/2019
761,Danika Buche,3,3,4,2,11/22/2019
762,Obed Brookes,3,5,,1,11/25/2019
763,Clement Cork,,,6,5,11/19/2019
764,Grata Etridge,8,,5,2,11/25/2019
765,Rurik Cockshutt,,4,5,2,11/24/2019
766,Milli Nicholas,,1,,,11/22/2019
767,Haroun Jaqueme,6,1,3,1,11/22/2019
768,Rancell Townsend,5,,,1,11/20/2019
769,Dominik Mellody,7,6,,,11/25/2019
770,Xerxes Whitter,7,5,1,1,11/23/2019
771,Les Panchen,4,6,1,2,11/19/2019
772,Torey Hamblyn,7,2,,,11/24/2019
773,Shaylyn Shayler,9,2,3,3,11/25/2019
774,Calv Tunny,5,6,,4,11/20/2019
775,Burl Windebank,3,,0,0,11/23/2019
776,Andriette Auchterlonie,7,3,3,,11/19/2019
777,Darrel Stansbie,,3,9,4,11/23/2019
778,Adrianne Morrant,4,0,1,3,11/21/2019
779,Bobby Schuler,4,4,2,2,11/22/2019
780,Julita Indgs,5,4,1,1,11/22/2019
781,Dena Dundredge,3,2,0,0,11/21/2019
782,Lian Wills,8,4,4,2,11/25/2019
783,Ingamar Fawssett,3,1,2,2,11/19/2019
784,Jule Nisco,5,,1,0,11/21/2019
785,Page Pruvost,5,2,5,0,11/22/2019
786,Christophe Poulston,4,,5,2,11/23/2019
787,Olag Baldetti,4,4,4,2,11/24/2019
788,Jerad Rapley,8,3,1,1,11/23/2019
789,Hillard Lamblot,,,5,0,11/22/2019
790,Charles Follett,7,3,2,,11/19/2019
791,Merwyn Tomczykiewicz,3,,1,,11/21/2019
792,Lucretia Ecles,4,5,4,3,11/21/2019
793,Elvera Goodredge,,,4,0,11/22/2019
794,Madalyn Quarterman,5,2,2,3,11/25/2019
795,Cherilynn Dymocke,4,,2,3,11/22/2019
796,Brandyn Griffith,,6,5,1,11/20/2019
797,Wolfy Salle,4,0,,0,11/23/2019
798,Melany Jacmard,2,4,6,,11/24/2019
799,Devlin Askaw,7,3,3,3,11/21/2019
800,Caterina Giacopetti,4,,,1,11/24/2019
801,Nikoletta Stabler,4,3,2,1,11/21/2019
802,Patten Debling,7,3,5,2,11/19/2019
803,Phoebe Eyles,4,4,0,6,11/20/2019
804,Erwin Baumann,4,6,4,1,11/20/2019
805,Thorn Moodie,9,,2,0,11/21/2019
806,Ed Adam,,2,1,,11/23/2019
807,Candy Lympenie,3,2,3,,11/20/2019
808,Row Kilbourne,3,0,,2,11/22/2019
809,Bendick Andreas,5,3,2,1,11/21/2019
810,Harriot Pinder,4,,2,1,11/25/2019
811,Rosetta Tinkham,3,1,2,1,11/20/2019
812,Madelyn Spirit,3,,,2,11/25/2019
813,Datha Oxtarby,8,3,1,3,11/25/2019
814,Scarface Klimschak,,2,3,3,11/25/2019
815,Bernette Slewcock,8,2,2,3,11/22/2019
816,Silvester Henze,6,,1,2,11/24/2019
817,Nolie Plastow,,,5,1,11/20/2019
818,Aubine Hawke,2,3,3,4,11/22/2019
819,Gwenette Hasnip,,5,5,4,11/23/2019
820,Gertrudis McAvinchey,6,4,3,1,11/22/2019
821,Kaleena Seabridge,6,5,5,7,11/23/2019
822,Mellicent Hulle,5,0,9,5,11/25/2019
823,Sallee Scraney,,2,2,0,11/19/2019
824,William Kedslie,1,2,,1,11/20/2019
825,Putnam Getley,8,5,4,0,11/19/2019
826,Enoch Oblein,8,,0,1,11/24/2019
827,Randie Lusgdin,7,5,2,4,11/21/2019
828,Cleopatra Perroni,6,,0,1,11/19/2019
829,Moritz Tancock,6,1,1,3,11/21/2019
830,Max Glaister,,,,0,11/25/2019
831,Morry Usher,8,1,4,0,11/21/2019
832,Leola Le Brum,6,3,2,,11/21/2019
833,Else Heintsch,5,3,1,2,11/24/2019
834,Weston Noods,7,3,2,2,11/19/2019
835,Lissy Allebone,,3,3,,11/21/2019
836,Naoma Nettle,4,3,6,2,11/23/2019
837,Pancho Robinet,5,,7,2,11/20/2019
838,Bibbie Bewfield,8,3,,1,11/21/2019
839,Ranna Rookledge,2,0,3,4,11/19/2019
840,Mace Dudgeon,4,6,4,2,11/21/2019
841,Editha Munkley,4,0,3,2,11/19/2019
842,Wash Garioch,,0,,2,11/25/2019
843,Marybeth Garrett,,,,3,11/25/2019
844,Tibold Clamo,2,5,2,0,11/20/2019
845,Chico Dunster,5,1,2,7,11/24/2019
846,Cheslie Grelik,,1,7,3,11/22/2019
847,Sholom Colegrove,5,4,4,1,11/20/2019
848,Lauraine Harvey,5,3,1,,11/20/2019
849,Willy Hickenbottom,1,4,,2,11/22/2019
850,Bowie Bertrand,,0,2,,11/21/2019
851,Gunner Lappine,,3,1,,11/24/2019
852,Cly Goley,,,,3,11/22/2019
853,Zed Bolderstone,,4,,3,11/21/2019
854,Nealy Wainer,2,0,2,,11/24/2019
855,Trevar Corkill,8,,3,2,11/20/2019
856,Donall Gainsbury,,3,4,1,11/20/2019
857,Monica Bown,4,1,,3,11/22/2019
858,Corbie Spellman,4,7,,1,11/19/2019
859,Nessa Reubbens,6,3,,4,11/20/2019
860,Jenifer Kelinge,4,2,1,1,11/20/2019
861,Gery Frederick,8,4,4,,11/21/2019
862,Mina Cadamy,11,4,3,2,11/24/2019
863,Lisetta Middlemass,5,5,4,4,11/22/2019
864,Tamar Kordes,7,5,3,,11/20/2019
865,Ninette Tschirschky,4,3,1,3,11/25/2019
866,Maddy Canon,5,4,2,0,11/20/2019
867,Angelle Warbey,,4,2,3,11/23/2019
868,Feodora Pester,4,5,3,1,11/23/2019
869,Lynna Armitage,7,5,5,8,11/24/2019
870,Valli Hambling,6,4,4,0,11/24/2019
871,Mace Farguhar,2,5,2,2,11/19/2019
872,Rabbi Reidshaw,6,4,3,1,11/21/2019
873,Sutherland Bonavia,4,4,3,3,11/23/2019
874,Crystie Boulding,2,2,3,4,11/20/2019
875,Corbet Noen,,,3,5,11/22/2019
876,Rice Gerling,5,1,,2,11/22/2019
877,Demott Wibrow,10,5,6,3,11/25/2019
878,Rafe Reubbens,4,1,4,2,11/22/2019
879,Fulvia Jovis,6,4,3,0,11/19/2019
880,Tabina Bartens,6,0,4,2,11/23/2019
881,Cleo Youell,7,1,1,0,11/22/2019
882,Marty Deave,5,,1,2,11/23/2019
883,Isabel Emery,6,1,3,0,11/22/2019
884,Martin Gollop,4,,3,,11/21/2019
885,Adore Gypps,7,,,2,11/19/2019
886,Craggy Hawk,4,2,3,2,11/22/2019
887,Fedora Pettifer,4,5,6,,11/23/2019
888,Sutherland Keningley,,3,6,1,11/24/2019
889,Annadiane Raiston,6,3,2,3,11/25/2019
890,Harmonie Brushfield,5,5,1,1,11/23/2019
891,Marmaduke Zieme,4,3,3,,11/19/2019
892,Aleta McCoveney,3,3,3,0,11/25/2019
893,Lazarus Goldspink,8,5,1,4,11/19/2019
894,Tully Salisbury,4,3,4,4,11/22/2019
895,Shurlocke Vest,4,1,2,0,11/19/2019
896,Roma Mitchard,5,1,2,,11/21/2019
897,Velma Pyle,,2,2,1,11/21/2019
898,Norrie Bruckmann,8,,4,,11/23/2019
899,Jessy Heindl,2,3,,1,11/23/2019
900,Gaylor Penhalurick,3,4,2,2,11/21/2019
901,Vincent Kynton,8,1,3,2,11/22/2019
902,My Qualtro,6,2,,1,11/20/2019
903,Morton Statefield,6,4,,3,11/24/2019
904,Granny Copley,5,2,2,1,11/22/2019
905,Vernor Cloonan,,5,,1,11/23/2019
906,Hinda Goullee,,2,2,2,11/24/2019
907,Derril Mottley,5,,,1,11/25/2019
908,Karina Huddlestone,1,,3,2,11/21/2019
909,Wrennie De Roberto,1,3,2,2,11/20/2019
910,Cally Turk,5,2,2,,11/20/2019
911,Frederique Mowsdale,8,3,2,3,11/25/2019
912,Kit Sifflett,,1,4,2,11/22/2019
913,Jae Chadbourn,8,2,6,,11/22/2019
914,Sheree Effaunt,,0,5,2,11/21/2019
915,Sully Cowhig,7,3,,1,11/22/2019
916,Helge Davis,,,5,3,11/24/2019
917,Hedy Wrightam,5,,4,1,11/24/2019
918,Ritchie Northleigh,9,4,3,,11/24/2019
919,Lurette Maseres,3,1,6,5,11/25/2019
920,Wittie Coggon,,,4,1,11/23/2019
921,Ardelia Brettelle,6,0,,4,11/20/2019
922,Price Padbery,4,1,2,3,11/20/2019
923,Remy Brookzie,3,3,4,2,11/25/2019
924,Rheta Metschke,5,,3,,11/19/2019
925,Broddie Blagbrough,5,2,5,1,11/19/2019
926,Borden Westbury,0,4,,1,11/19/2019
927,Fonz O'Shee,4,2,7,5,11/21/2019
928,Ingelbert Twells,5,5,5,3,11/24/2019
929,Heloise Cocklin,,,,3,11/20/2019
930,Kevina Mallabar,2,3,2,1,11/19/2019
931,Irv Dennison,0,1,,0,11/20/2019
932,Ambros Howison,,3,,2,11/23/2019
933,Fee Mussared,6,3,3,0,11/19/2019
934,Daryn Ferrino,5,6,2,,11/20/2019
935,Libbey Brake,2,0,4,1,11/25/2019
936,Anjela Bjorkan,7,3,5,4,11/23/2019
937,Howard Leatherland,6,1,1,1,11/21/2019
938,Ola Vanne,6,0,2,0,11/21/2019
939,Monti Bruineman,,6,,,11/20/2019
940,Sutherland Cuvley,6,,4,2,11/20/2019
941,Floyd Lambden,8,2,,,11/24/2019
942,Nikita Beaumont,5,4,,,11/20/2019
943,Algernon Henricsson,6,3,5,0,11/24/2019
944,Klara Revan,6,,,1,11/20/2019
945,Elle Overstone,6,,3,3,11/24/2019
946,Nappy Shinton,7,2,,0,11/21/2019
947,Gayleen Blindmann,8,1,3,4,11/25/2019
948,Nolan Matignon,12,,3,,11/24/2019
949,Eziechiele Smaleman,6,2,1,2,11/20/2019
950,Ted Dewdney,,5,,,11/24/2019
951,Dalt Luppitt,,3,4,0,11/22/2019
952,Husein oldey,5,2,,1,11/22/2019
953,Eveleen Fitton,,3,3,3,11/24/2019
954,Lolly Brothwell,5,2,1,4,11/25/2019
955,Aurel Filliskirk,,1,1,1,11/22/2019
956,Josephina Fero,4,3,0,,11/24/2019
957,Katine Simison,6,2,4,2,11/25/2019
958,Danna Stanyforth,5,2,3,2,11/24/2019
959,Sheba Nutman,8,5,,1,11/20/2019
960,Hewett Maher,6,,3,3,11/24/2019
961,Salem Lemmers,6,2,3,0,11/20/2019
962,Elianore Calven,,,5,1,11/25/2019
963,Stavros Tanby,2,,3,0,11/25/2019
964,Rogers Medland,2,3,1,,11/21/2019
965,Emmalee Oxford,5,2,1,3,11/20/2019
966,Kaiser Tear,4,,2,1,11/25/2019
967,Eb Foucher,7,3,2,1,11/20/2019
968,Clarette Twinborne,7,,1,3,11/24/2019
969,Dolorita Rewcastle,5,3,3,3,11/23/2019
970,Torrie Moyes,11,3,,1,11/20/2019
971,Aimil Cosens,,2,0,,11/23/2019
972,Peri Chantree,5,2,4,4,11/23/2019
973,Broddy Craigg,8,3,4,4,11/19/2019
974,Jerrilee Petr,8,3,3,1,11/25/2019
975,Luci Cowell,,,7,2,11/23/2019
976,Stephan Billanie,4,,4,0,11/24/2019
977,Gilbert Josephson,9,2,2,1,11/22/2019
978,Velvet Varga,10,3,,2,11/19/2019
979,Gilemette Jamot,5,3,2,3,11/25/2019
980,Cynthia Stannislawski,,3,1,3,11/25/2019
981,Sarge Cisco,,2,,,11/19/2019
982,Milly Farreil,10,,6,6,11/21/2019
983,Jaynell Lowless,,,5,1,11/21/2019
984,Aurelie Mitten,8,2,2,1,11/25/2019
985,Clarette Coldtart,2,4,3,1,11/23/2019
986,Rip Mulgrew,6,5,4,0,11/25/2019
987,Toni Andersch,3,5,7,,11/21/2019
988,Olympe Brattan,1,2,,2,11/20/2019
989,Peirce Cullinan,3,1,4,2,11/20/2019
990,Cindelyn Nolot,7,,,4,11/19/2019
991,Merv Hallad,2,0,1,,11/23/2019
992,Orelle Neat,4,3,2,3,11/22/2019
993,Germain Scranedge,1,,1,2,11/24/2019
994,Ingram Medlar,,0,7,5,11/21/2019
995,Olive Lacheze,5,,,2,11/22/2019
996,Janella Jaskowicz,6,5,1,3,11/24/2019
997,Manon Guppey,4,3,,5,11/24/2019
998,Melania Fontaine,5,3,6,2,11/20/2019
999,Erina Jewise,3,6,,0,11/20/2019
1000,Lotta Goudy,4,4,1,3,11/25/2019
